pointID,prov,route,point,route.name,region,ecoregion,ecodistrict,protection,latitude,longitude,year.est,type,partner,NOTES
NB01-01,NB,1,1,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.865563,-66.299138,2012,fresh,DUC,
NB01-02,NB,1,2,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.862328,-66.304866,2012,fresh,DUC,
NB01-03,NB,1,3,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.864742,-66.30837,2012,fresh,DUC,
NB01-04,NB,1,4,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.867285,-66.302101,2012,fresh,DUC,
NB01-05,NB,1,5,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.867397,-66.306863,2012,fresh,DUC,
NB01-06,NB,1,6,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.867735,-66.29719,2012,fresh,DUC,
NB01-07,NB,1,7,Babbit's Meadow,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.866942,-66.300484,2012,fresh,DUC,too close to NB01-04 (SM point in 2012)
NB02-01,NB,2,1,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.867499,-66.17223,2012,fresh,UNKN,
NB02-02,NB,2,2,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.864476,-66.176622,2012,fresh,DUC,
NB02-03,NB,2,3,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.859202,-66.180278,2012,fresh,DUC,
NB02-04,NB,2,4,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.850003,-66.17666,2012,fresh,UNKN,
NB02-05,NB,2,5,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.851707,-66.169901,2012,fresh,UNKN,
NB02-06,NB,2,6,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.851246,-66.188344,2012,fresh,DUC,
NB02-07,NB,2,7,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.859034,-66.188067,2012,fresh,DUC,
NB02-08,NB,2,8,Back Lake East,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.857279,-66.192793,2012,fresh,DUC,
NB03-01,NB,3,1,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.880034,-66.188438,2012,fresh,DUC,
NB03-02,NB,3,2,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.874402,-66.187833,2012,fresh,UNKN,
NB03-03,NB,3,3,Back Lake West,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.877006,-66.191606,2012,fresh,DUC,
NB03-04,NB,3,4,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.880232,-66.20049,2012,fresh,DUC,
NB03-05,NB,3,5,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.877251,-66.200447,2012,fresh,DUC,
NB03-06,NB,3,6,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,,45.870996,-66.197552,2012,fresh,DUC,
NB03-07,NB,3,7,Back Lake West,Grand Lake,Grand Lake Lowlands,Grand Lake,NB PNA,45.880202,-66.209551,2012,fresh,UNKN,
NB04-01,NB,4,1,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.771109,-66.112078,2012,fresh,DUC,
NB04-02,NB,4,2,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.76715,-66.109981,2012,fresh,DUC,
NB04-03,NB,4,3,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.76573,-66.11223,2012,fresh,DUC,
NB04-04,NB,4,4,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.76659,-66.11607,2012,fresh,DUC,
NB04-05,NB,4,5,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.76853,-66.1185,2012,fresh,DUC,
NB04-06,NB,4,6,Black Duck Marsh,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.77073,-66.11611,2012,fresh,DUC,
NB05-01,NB,5,1,Fredericton,Grand Lake,Grand Lake Lowlands,Aukpaque,,45.97652,-66.67634,2012,fresh,UNKN,
