deviceID,routeID,route.name,pointID,wetland.type,lat,lon,ts.start,ts.end,deployment.days,notes
18,NA,Shaw Creek,NA,fresh,45.73569959,-66.571864,2012-05-31,2012-06-06,,
20,NA,Wood Meadow E,NA,fresh,45.76012466,-66.55566866,2012-05-31,2012-06-06,,
25,NA,Wood Meadow S,NA,fresh,45.75671102,-66.56229851,2012-05-31,2012-06-06,,
24,NA,Sunpoke Lake,NA,fresh,45.76944778,-66.55180147,2012-06-01,2012-06-06,,
4,NA,Holden Meadow,NA,fresh,45.82369654,-66.52883774,2012-06-04,2012-06-11,,
13,NA,McKeever's Meadow,NA,fresh,45.81586185,-66.50588583,2012-06-05,2012-06-11,,
21,NA,Fredericton,NA,fresh,45.97497985,-66.67539555,2012-06-05,2012-06-13,,
3,NA,Babbit's Meadow N,NA,fresh,45.86854531,-66.29710791,2012-06-06,2012-06-14,,
14,NA,French Lake Meadow N,NA,fresh,45.91009847,-66.28367891,2012-06-08,2012-06-14,,
18,NA,Babbit's Meadow S,NA,fresh,45.86247877,-66.30510618,2012-06-08,2012-06-14,,
20,NA,French Lake Meadow S,NA,fresh,45.89793069,-66.2856263,2012-06-08,2012-06-14,,
25,NA,Timber Lake 1,NA,fresh,45.89715013,-66.23880525,2012-06-08,2012-06-17,,
11,NA,Portobello N,NA,fresh,45.9231521,-66.3207397,2012-06-10,2012-06-17,,
17,NA,Back Lake 1,NA,fresh,45.88037808,-66.18959575,2012-06-10,2012-06-17,,
19,NA,Back Lake 2,NA,fresh,45.87726368,-66.20021672,2012-06-10,2012-06-17,,
22,NA,Cowperthwaite Lake,NA,fresh,45.90502074,-66.31483104,2012-06-10,2012-06-17,,
2,NA,Timber Lake 2,NA,fresh,45.89172926,-66.23090194,2012-06-11,2012-06-17,,
1,NA,Gronegen Village E,NA,fresh,45.64786536,-66.30536252,2012-06-13,2012-06-20,,
4,NA,Gronegen Village W,NA,fresh,45.64886339,-66.32483495,2012-06-13,2012-06-20,,
13,NA,Gronegen Village C,NA,fresh,45.64854545,-66.31818935,2012-06-13,2012-06-20,,
4,NA,Gagetown 51 A,NA,fresh,45.67608075,-66.49167832,2012-06-14,2012-06-21,,
8,NA,Gagetown 18 C,NA,fresh,45.63344045,-66.3614045,2012-06-14,2012-06-20,,
16,NA,Gagetown 18 B,NA,fresh,45.63439798,-66.36935296,2012-06-14,2012-06-20,,
26,NA,Gagetown 18 A,NA,fresh,45.64875835,-66.36989956,2012-06-14,2012-06-20,,
23,NA,Gagetown 51 B,NA,fresh,45.67787855,-66.50142091,2012-06-15,2012-06-21,,
3,NA,Jemseg S1,NA,fresh,45.81212982,-66.11369358,2012-06-16,,,
12,NA,Jemseg N,NA,fresh,45.84200368,-66.12939203,2012-06-16,,,
21,NA,Jemseg Bridge,NA,fresh,45.82961411,-66.11814545,2012-06-16,,,
24,NA,Jemseg S2,NA,fresh,45.81788995,-66.1133185,2012-06-16,,,
17,NA,Back Lake 4,NA,fresh,45.87077142,-66.19754077,2012-06-17,,,
18,NA,Back Lake 6,NA,fresh,45.86453152,-66.17662248,2012-06-17,,,
19,NA,Back Lake 3,NA,fresh,45.88024615,-66.20953889,2012-06-17,,,
20,NA,Back Lake 5,NA,fresh,45.85782477,-66.1926396,2012-06-17,,,
2,NA,Black Duck Marsh 2,NA,fresh,45.76720333,-66.11003307,2012-06-18,,,
25,NA,Black Duck Marsh 1,NA,fresh,45.77117053,-66.11207886,2012-06-18,,,
2,NB12,CFB-Gronegen,NB12-04,fresh,NA,NA,2013-05-28,2013-06-04,,
2,NB12,CFB-Gronegen,NB12-04,fresh,NA,NA,2013-06-04,2013-06-09,,
3,NB21,PortobelloE,NB21-04,fresh,NA,NA,2013-05-18,2013-05-25,,
7,NB04,BlackDuckMarsh,NB04-02,fresh,NA,NA,2013-05-19,2013-05-25,,
7,NB10,CFB-Gagetown51,NB10-08,fresh,NA,NA,2013-05-28,2013-06-02,,
7,NB10,CFB-Gagetown51,NB10-08,fresh,NA,NA,2013-06-01,2013-06-03,,
7,NA,Unknown,NA,,NA,NA,2013-06-09,2013-06-15,,
7,NA,Unknown,NA,,NA,NA,2013-06-20,2013-06-26,,
8,NB10,CFB-Gagetown51,NB10-05,fresh,NA,NA,2013-06-15,2013-06-21,,
8,NB10,CFB-Gagetown51,NB10-05,fresh,NA,NA,2013-06-20,2013-06-23,,
8,NB20,PortobelloC,NB20-SM,fresh,NA,NA,2013-06-27,2013-07-02,,
13,NB21,PortobelloE,NB21-08,fresh,NA,NA,2013-05-17,2013-05-24,,
13,NB21,PortobelloE,NB21-08,fresh,NA,NA,2013-05-25,2013-05-28,,
13,NB11,GagetownIsland,NB11-03,fresh,NA,NA,2013-06-04,2013-06-09,,
18,NB08,CFB-Gagetown18,NB08-04,fresh,NA,NA,2013-06-05,2013-06-09,,
18,NB04,BlackDuckMarsh,NB04-05,fresh,NA,NA,2013-06-14,2013-06-20,,
18,NB21,PortobelloE,NB21-08,fresh,NA,NA,2013-06-21,2013-06-27,,
26,NB12,CFB-Gronegen,NB12-SM,fresh,NA,NA,2013-06-03,2013-06-09,,
1,NA,Beaubassin,NA,fresh,NA,NA,2013-06-01,2013-06-05,,
1,NA,Beaubassin,NA,fresh,NA,NA,2013-06-05,2013-06-11,,
6,NA,Midgic,NA,fresh,NA,NA,2013-05-28,2013-06-02,,
6,NA,Midgic,NA,fresh,NA,NA,2013-06-08,2013-06-13,,
11,NA,AmherstPoint,NA,fresh,NA,NA,2013-05-23,2013-05-29,,
11,SaltMarsh,Kougibouguac,SaltMarsh,coastal,NA,NA,2013-06-15,2013-06-21,,
11,SaltMarsh,Kougibouguac,SaltMarsh,coastal,NA,NA,2013-06-21,2013-06-27,,
12,NA,BellMarsh,NA,fresh,NA,NA,2013-06-03,2013-06-08,,
12,NA,BeechLake,NA,fresh,NA,NA,2013-06-13,2013-06-19,,
21,NA,EastAmherstMarsh,NA,fresh,NA,NA,2013-05-25,2013-05-30,,
21,NA,Dorchester,NA,coastal,NA,NA,2013-06-06,2013-06-12,,
21,NA,Dorchester,NA,coastal,NA,NA,2013-06-12,2013-06-17,,
21,NA,Dorchester,NA,coastal,NA,NA,2013-06-17,2013-06-20,,
24,NA,Tintamarre,NA,fresh,NA,NA,2013-05-19,2013-05-25,,
24,NA,Tintamarre,NA,fresh,NA,NA,2013-05-25,2013-05-30,,
25,NA,BeechLake,NA,fresh,NA,NA,2013-05-19,2013-05-25,,
25,NA,BeechLake,NA,fresh,NA,NA,2013-05-25,2013-05-30,,
25,NA,Dieppe,NA,coastal,NA,NA,2013-06-01,2013-06-07,,
25,NA,Dieppe,NA,coastal,NA,NA,2013-06-07,2013-06-11,,
2,NB12,CFB-Gronegen,NB12-SM,fresh,NA,NA,2013-06-15,2013-06-22,,
2,NB27,Timber-Fulton,NB27-06,fresh,NA,NA,2013-06-23,2013-06-29,,
3,NB11,GagetownIsland,NB11-04,fresh,NA,NA,2013-06-15,2013-06-21,,
3,NB20,PortobelloC,NB20-04,fresh,NA,NA,2013-06-27,2013-07-08,,
19,NB04,BlackDuckMarsh,NB04-02,fresh,NA,NA,2013-06-14,2013-06-20,,
19,NB04,BlackDuckMarsh,NB04-02,fresh,NA,NA,2013-06-19,2013-06-20,,
19,NB21,PortobelloE,NB21-03,fresh,NA,NA,2013-06-21,2013-06-26,,
