"year","routeID","route.name","pointID","driveID","wetland.type","n.minutes","ts.min","ts.max","n.days","n.devices","deviceID"
"2000",NA,NA,NA,"10,13,3,6,7,9","NA",11220.4143333333,2000-01-01,2000-01-10,9,4,"19,6,15,22"
"2012",NA,"Babbit's Meadow N",NA,"1,14,16,5","fresh",19820.1333333333,2012-06-06,2012-06-14,8,1,"3"
"2012",NA,"Babbit's Meadow S",NA,"1,14,15,16,5","fresh",7198.8,2012-06-08,2012-06-14,6,1,"18"
"2012",NA,"Back Lake 1",NA,"14,15","fresh",8084.56666666667,2012-06-10,2012-06-17,7,1,"17"
"2012",NA,"Back Lake 2",NA,"1,14,15,16,5","fresh",9157.43333333333,2012-06-10,2012-06-17,7,1,"19"
"2012",NA,"Back Lake 3",NA,"1,14,15,16,5","fresh",34984.9666666667,2012-06-17,2012-07-01,14,1,"19"
"2012",NA,"Back Lake 4",NA,"14,15","fresh",405.766666666667,2012-06-17,2012-06-17,0,1,"17"
"2012",NA,"Back Lake 5",NA,"1,14,16,5","fresh",29789.67,2012-06-17,2012-06-29,12,1,"20"
"2012",NA,"Back Lake 6",NA,"1,14,16,5","fresh",32153.8666666667,2012-06-17,2012-06-30,13,1,"18"
"2012",NA,"Black Duck Marsh 1",NA,"14,15","fresh",14397.4333333333,2012-06-18,2012-06-30,12,1,"25"
"2012",NA,"Black Duck Marsh 2",NA,"14,15","fresh",14397.5,2012-06-18,2012-06-30,12,1,"2"
"2012",NA,"Cowperthwaite Lake",NA,"14,15","fresh",8398.46666666667,2012-06-10,2012-06-17,7,1,"22"
"2012",NA,"Fredericton",NA,"14,15","fresh",10318.3333333333,2012-06-05,2012-06-13,8,1,"21"
"2012",NA,"French Lake Meadow N",NA,"14,15","fresh",7198.66666666667,2012-06-08,2012-06-14,6,1,"14"
"2012",NA,"French Lake Meadow S",NA,"14,15","fresh",7198.83333333333,2012-06-08,2012-06-14,6,1,"20"
"2012",NA,"Gagetown 18 A",NA,"14,15","fresh",7198.76666666667,2012-06-14,2012-06-20,6,1,"26"
"2012",NA,"Gagetown 18 B",NA,"14,15","fresh",7198.76666666667,2012-06-14,2012-06-20,6,1,"16"
"2012",NA,"Gagetown 18 C",NA,"14,15","fresh",6479.36666666667,2012-06-14,2012-06-20,6,1,"8"
"2012",NA,"Gagetown 51 A",NA,"14,15","fresh",7918.43333333333,2012-06-14,2012-06-20,6,1,"4"
"2012",NA,"Gagetown 51 B",NA,"1,14,15,16,5","fresh",6488.8,2012-06-15,2012-06-21,6,1,"23"
"2012",NA,"Gronegen Village C",NA,"1,14,15,16,5","fresh",8398.66666666667,2012-06-13,2012-06-20,7,1,"13"
"2012",NA,"Gronegen Village E",NA,"14,15","fresh",8398.43333333333,2012-06-13,2012-06-20,7,1,"1"
"2012",NA,"Gronegen Village W",NA,"14,15","fresh",8398.33333333333,2012-06-13,2012-06-20,7,1,"4"
"2012",NA,"Holden Meadow",NA,"14,15","fresh",8398.56666666667,2012-06-04,2012-06-11,7,1,"4"
"2012",NA,"Jemseg Bridge",NA,"1,14,15,16,5","fresh",43746.1333333333,2012-06-16,2012-07-09,23,1,"21"
"2012",NA,"Jemseg N",NA,"14,15","fresh",18233.6666666667,2012-06-16,2012-07-01,15,1,"12"
"2012",NA,"Jemseg S1",NA,"1,14,16,5","fresh",28728.4,2012-06-16,2012-06-28,12,1,"3"
"2012",NA,"Jemseg S2",NA,"14,15","fresh",17985.8,2012-06-16,2012-07-01,15,1,"24"
"2012",NA,"McKeever's Meadow",NA,"14,15","fresh",5822.488,2012-06-06,2012-06-11,5,1,"13"
"2012",NA,"Portobello N",NA,"14,15","fresh",8398.66666666667,2012-06-10,2012-06-17,7,1,"11"
"2012",NA,"Shaw Creek",NA,"14,15","fresh",8334.35133333333,2012-05-31,2012-06-06,6,1,"18"
