"samples","sample.rate","length.secs","file.size","file.location","filename","channels","bits","drive.id","device.id","timestamp"
-8192,44100,0,0,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130615_192328.wav","MMP-POPA02_20130615_192328.wav",NA,NA,"13","02",2013-06-15 19:23:28
340893056,44100,7730,1363604992,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130616_055112.wav","MMP-POPA02_20130616_055112.wav",2,16,"13","02",2013-06-16 05:51:12
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130616_190000.wav","MMP-POPA02_20130616_190000.wav",2,16,"13","02",2013-06-16 19:00:00
137768448,44100,3124,551106560,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130616_222258.wav","MMP-POPA02_20130616_222258.wav",2,16,"13","02",2013-06-16 22:22:58
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_000000.wav","MMP-POPA02_20130617_000000.wav",2,16,"13","02",2013-06-17 00:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_010000.wav","MMP-POPA02_20130617_010000.wav",2,16,"13","02",2013-06-17 01:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_020000.wav","MMP-POPA02_20130617_020000.wav",2,16,"13","02",2013-06-17 02:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_030000.wav","MMP-POPA02_20130617_030000.wav",2,16,"13","02",2013-06-17 03:00:00
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_040000.wav","MMP-POPA02_20130617_040000.wav",2,16,"13","02",2013-06-17 04:00:00
98078464,44100,2224,392346624,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_072259.wav","MMP-POPA02_20130617_072259.wav",2,16,"13","02",2013-06-17 07:22:59
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_190000.wav","MMP-POPA02_20130617_190000.wav",2,16,"13","02",2013-06-17 19:00:00
137724416,44100,3123,550930432,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130617_222259.wav","MMP-POPA02_20130617_222259.wav",2,16,"13","02",2013-06-17 22:22:59
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_000000.wav","MMP-POPA02_20130618_000000.wav",2,16,"13","02",2013-06-18 00:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_010000.wav","MMP-POPA02_20130618_010000.wav",2,16,"13","02",2013-06-18 01:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_020000.wav","MMP-POPA02_20130618_020000.wav",2,16,"13","02",2013-06-18 02:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_030000.wav","MMP-POPA02_20130618_030000.wav",2,16,"13","02",2013-06-18 03:00:00
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_040000.wav","MMP-POPA02_20130618_040000.wav",2,16,"13","02",2013-06-18 04:00:00
98034304,44100,2223,392169984,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_072259.wav","MMP-POPA02_20130618_072259.wav",2,16,"13","02",2013-06-18 07:22:59
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_190000.wav","MMP-POPA02_20130618_190000.wav",2,16,"13","02",2013-06-18 19:00:00
137724416,44100,3123,550930432,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130618_222259.wav","MMP-POPA02_20130618_222259.wav",2,16,"13","02",2013-06-18 22:22:59
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_000000.wav","MMP-POPA02_20130619_000000.wav",2,16,"13","02",2013-06-19 00:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_010000.wav","MMP-POPA02_20130619_010000.wav",2,16,"13","02",2013-06-19 01:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_020000.wav","MMP-POPA02_20130619_020000.wav",2,16,"13","02",2013-06-19 02:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_030000.wav","MMP-POPA02_20130619_030000.wav",2,16,"13","02",2013-06-19 03:00:00
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_040000.wav","MMP-POPA02_20130619_040000.wav",2,16,"13","02",2013-06-19 04:00:00
98034304,44100,2223,392169984,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_072259.wav","MMP-POPA02_20130619_072259.wav",2,16,"13","02",2013-06-19 07:22:59
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_190000.wav","MMP-POPA02_20130619_190000.wav",2,16,"13","02",2013-06-19 19:00:00
137724416,44100,3123,550930432,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130619_222259.wav","MMP-POPA02_20130619_222259.wav",2,16,"13","02",2013-06-19 22:22:59
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_000000.wav","MMP-POPA02_20130620_000000.wav",2,16,"13","02",2013-06-20 00:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_010000.wav","MMP-POPA02_20130620_010000.wav",2,16,"13","02",2013-06-20 01:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_020000.wav","MMP-POPA02_20130620_020000.wav",2,16,"13","02",2013-06-20 02:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_030000.wav","MMP-POPA02_20130620_030000.wav",2,16,"13","02",2013-06-20 03:00:00
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_040000.wav","MMP-POPA02_20130620_040000.wav",2,16,"13","02",2013-06-20 04:00:00
98078464,44100,2224,392346624,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_072259.wav","MMP-POPA02_20130620_072259.wav",2,16,"13","02",2013-06-20 07:22:59
536829312,44100,12173,2147350016,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_190000.wav","MMP-POPA02_20130620_190000.wav",2,16,"13","02",2013-06-20 19:00:00
137724416,44100,3123,550930432,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130620_222259.wav","MMP-POPA02_20130620_222259.wav",2,16,"13","02",2013-06-20 22:22:59
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130621_000000.wav","MMP-POPA02_20130621_000000.wav",2,16,"13","02",2013-06-21 00:00:00
39690112,44100,900,158793216,"G://DATA BACK UP 2012-2015/2013_SONGMETER/POPA02-02_CFB-Gronegen_NB12-SM/20130615-20130622/MMP-POPA02_20130621_010000.wav","MMP-POPA02_20130621_010000.wav",2,16,"13","02",2013-06-21 01:00:00
